Date,Cash,Credit,Total,Date,Checker,Actual_total
04/03/11,6453,3650.71,10103.71,Sunday,TRUE,10103.71
04/04/11,2388,633.7,3021.7,Monday,TRUE,3021.7
04/05/11,2459.85,772.78,3232.63,Tuesday,TRUE,3232.63
04/06/11,2442,871.17,3313.17,Wednesday,TRUE,3313.17
04/07/11,2213.95,814.86,3028.81,Thursday,TRUE,3028.81
04/08/11,3165,1558.01,4723.01,Friday,TRUE,4723.01
04/09/11,4060,1777.64,5837.64,Saturday,TRUE,5837.64
04/10/11,5631.25,2587.95,8219.2,Sunday,TRUE,8219.2
04/11/11,2119,798.61,2917.61,Monday,TRUE,2917.61
04/12/11,2427.4,956.85,3384.25,Tuesday,TRUE,3384.25
04/13/11,2183,964.92,3147.92,Wednesday,TRUE,3147.92
04/14/11,2710,1126.2,3836.2,Thursday,TRUE,3836.2
04/15/11,2746,1285.14,4031.14,Friday,TRUE,4031.14
04/16/11,3289,3347.87,6636.87,Saturday,TRUE,6636.87
04/17/11,5931,2645.03,8576.03,Sunday,TRUE,8576.03
04/18/11,2280,721.89,3001.89,Monday,TRUE,3001.89
04/19/11,2409,943.32,3352.32,Tuesday,TRUE,3352.32
04/20/11,2428.35,1066.19,3494.54,Wednesday,TRUE,3494.54
04/21/11,2285,1139.68,3424.68,Thursday,TRUE,3424.68
04/22/11,3418.64,1134.75,4553.39,Friday,TRUE,4553.39
04/23/11,4222.36,2977.06,7199.42,Saturday,TRUE,7199.42
04/24/11,5250,2741.36,7991.36,Sunday,TRUE,7991.36
04/25/11,2613,754.8,3367.8,Monday,TRUE,3367.8
04/26/11,1716,991.76,2707.76,Tuesday,TRUE,2707.76
04/27/11,2041,805.36,2846.36,Wednesday,TRUE,2846.36
04/28/11,2151,1162.24,3313.24,Thursday,TRUE,3313.24
04/29/11,3213.08,1620.7,4833.78,Friday,TRUE,4833.78
04/30/11,4657.95,1588.42,6246.37,Saturday,TRUE,6246.37
05/01/11,4517.34,3303.37,7820.71,Sunday,TRUE,7820.71
05/02/11,1917,775.56,2692.56,Monday,TRUE,2692.56
05/03/11,1838,963.51,2801.51,Tuesday,TRUE,2801.51
05/04/11,2239,923.98,3162.98,Wednesday,TRUE,3162.98
05/05/11,2198,1036.16,3234.16,Thursday,TRUE,3234.16
05/06/11,3308.6,1253.74,4562.34,Friday,TRUE,4562.34
05/07/11,3442,1691.75,5133.75,Saturday,TRUE,5133.75
05/08/11,8954,4422.97,13376.97,Sunday,TRUE,13376.97
05/09/11,1610,919.98,2529.98,Monday,TRUE,2529.98
05/10/11,5575,2406.84,7981.84,Tuesday,TRUE,7981.84
05/11/11,2416,691,3107,Wednesday,TRUE,3107
05/12/11,2112,1327.43,3439.43,Thursday,TRUE,3439.43
05/13/11,2624,1180.78,3804.78,Friday,TRUE,3804.78
05/14/11,2982,1863.94,4845.94,Saturday,TRUE,4845.94
05/15/11,6162,2727.1,8889.1,Sunday,TRUE,8889.1
05/16/11,1735,819,2554,Monday,TRUE,2554
05/17/11,1521.67,875.8,2397.47,Tuesday,TRUE,2397.47
05/18/11,1890,650.14,2540.14,Wednesday,TRUE,2540.14
05/19/11,1764,675.27,2439.27,Thursday,TRUE,2439.27
05/20/11,2574.75,1912.31,4487.06,Friday,TRUE,4487.06
05/21/11,3578.95,1690.06,5269.01,Saturday,TRUE,5269.01
05/22/11,6644.71,3046.85,9691.56,Sunday,TRUE,9691.56
05/23/11,1561,644.52,2205.52,Monday,TRUE,2205.52
05/24/11,2231,752.52,2983.52,Tuesday,TRUE,2983.52
05/25/11,1788,689.04,2477.04,Wednesday,TRUE,2477.04
05/26/11,2638.7,1132.78,3771.48,Thursday,TRUE,3771.48
05/27/11,2723.59,938.64,3662.23,Friday,TRUE,3662.23
05/28/11,2846.1,1613.61,4459.71,Saturday,TRUE,4459.71
05/29/11,5469.9,3018.94,8488.84,Sunday,TRUE,8488.84
05/30/11,2580,1370.65,3950.65,Monday,TRUE,3950.65
05/31/11,2590,1112.84,3702.84,Tuesday,TRUE,3702.84
06/01/11,2750,1255.17,4005.17,Wednesday,TRUE,4005.17
06/02/11,2990,1831.48,4821.48,Thursday,TRUE,4821.48
06/03/11,3575,2543.09,6118.09,Friday,TRUE,6118.09
06/04/11,3792,2195.81,5987.81,Saturday,TRUE,5987.81
06/05/11,6110,1969.6,8079.6,Sunday,TRUE,8079.6
06/06/11,1940,950.03,2890.03,Monday,TRUE,2890.03
06/07/11,2305,777.9,3082.9,Tuesday,TRUE,3082.9
06/08/11,2195,998.61,3193.61,Wednesday,TRUE,3193.61
06/09/11,2270,948.86,3218.86,Thursday,TRUE,3218.86
06/10/11,2560,1800,4360,Friday,TRUE,4360
06/11/11,3440,1616.45,5056.45,Saturday,TRUE,5056.45
06/12/11,6063,2654.09,8717.09,Sunday,TRUE,8717.09
06/13/11,2380,1006.06,3386.06,Monday,TRUE,3386.06
06/14/11,2160,593.21,2753.21,Tuesday,TRUE,2753.21
06/15/11,2500,1076.3,3576.3,Wednesday,TRUE,3576.3
06/16/11,2440,740.26,3180.26,Thursday,TRUE,3180.26
06/17/11,2845,1544.9,4389.9,Friday,TRUE,4389.9
06/18/11,2500,1750.3,4250.3,Saturday,TRUE,4250.3
06/19/11,8540,4377.21,12917.21,Sunday,TRUE,12917.21
06/20/11,1888,974.67,2862.67,Monday,TRUE,2862.67
06/21/11,1900,463.04,2363.04,Tuesday,TRUE,2363.04
06/22/11,1940,703.71,2643.71,Wednesday,TRUE,2643.71
06/23/11,2322,983.38,3305.38,Thursday,TRUE,3305.38
06/24/11,3450,1461.14,4911.14,Friday,TRUE,4911.14
06/25/11,3503,2000.5,5503.5,Saturday,TRUE,5503.5
06/26/11,4530,3621.64,8151.64,Sunday,TRUE,8151.64
